speaker,utterance,semantic,tone,topics,feature_text,topic
﻿Karen (HR),"Good morning, everyone. Thanks for being here. I understand this isn't an easy situation, but I want to emphasize that this is a safe and neutral space. Our goal today is to thoroughly discuss the concerns raised and ensure fairness to all parties. Sophia, would you be comfortable starting by describing what led you to file this complaint?",complaint,neutral,"complaint, discussion","complaint complaint, discussion",0
Sophia (S),"Yes, thank you, Karen. Over the past six months, I've increasingly felt uncomfortable in my role. It started with subtle remarks from Josh during team meetings - for example, he once said, ""Let's have someone else handle the analysis - it's too technical for Sophia."" That really undermined me, especially in front of the team. But it didn't stop there. There were also late-night messages that felt inappropriate, and I believe I've been overburdened with critical tasks without proper support.",complaint,frustration,"work environment, personal well-being","complaint work environment, personal well-being",1
Karen (HR),"I see. Josh, what's your response to that specific comment about the analysis being too technical?",Complaint,Neutral,"Josh, Analysis, Technicality","Complaint Josh, Analysis, Technicality",0
Josh (M),"Thanks, Karen. Honestly, that comment has been misunderstood. Sophia had asked for more time on that report, and I made a call to reassign part of it to avoid delays. I never intended to suggest she wasn't capable - it was about meeting a tight deadline.",Justification,Neutral,"Report Management, Communication","Justification Report Management, Communication",0
Karen (HR),"Sophia, did you explicitly ask for more time?",Question,Neutral,Clarification,Question Clarification,3
Sophia (S),"No, not at all. I only needed clarification on one section. I was perfectly on track to complete the task. What hurt was how public that comment was - it chipped away at my credibility.",Justification,Neutral,"Task Completion, Public Comment Impact","Justification Task Completion, Public Comment Impact",0
Karen (HR),"Noted. Josh, do you have any documentation or follow-up notes that justify the decision?",Justification,Neutral,"Decision, Documentation","Justification Decision, Documentation",0
Josh (M),"No written documentation, unfortunately. Most of our task management happens over verbal stand-ups or Slack, and the details weren't recorded.",denial,neutral,"task management, communication methods","denial task management, communication methods",0
Karen (HR),"Alright. I also reviewed recent performance evaluations. Sophia's ratings dropped from ""Exceeds Expectations"" to ""Meets Expectations"" over the last two cycles. But it's worth noting several team members also saw similar changes. Could you speak to that, Josh?",Justification,Neutral,"Performance Evaluation, Team Dynamics","Justification Performance Evaluation, Team Dynamics",0
Josh (M),"Sure. After we lost the Zenith client, there was immense pressure. The whole department faced tighter deadlines, and I had to be more critical across the board. The performance drops weren't targeted - they were a reflection of our new benchmarks.",Justification,Neutral,"Performance, Client Loss","Justification Performance, Client Loss",0
Sophia (S),"I disagree. Before I reported Josh's behavior, my work was praised. The decline happened after I first raised concerns informally with HR three months ago. It feels retaliatory.",Justification,Denial,"Work Performance, Employee Behavior","Justification Work Performance, Employee Behavior",0
Karen (HR),"That's a serious concern. I also pulled task distribution data. Sophia's workload increased by 40% in the last six months, compared to the team average of 25%. Can you explain that discrepancy, Josh?",Explanation and clarification,Neutral,"Workload Increase, Task Distribution","Explanation and clarification Workload Increase, Task Distribution",0
Josh (M),"Sophia is one of our most experienced team members. I thought she was best suited to handle client retention and campaign strategy. The extra work was a reflection of that, not an intentional burden.",Justification,Neutral,"Workload Distribution, Team Member Experience","Justification Workload Distribution, Team Member Experience",0
Sophia (S),"I understand being trusted with important tasks, but I wasn't given additional support. And even when I met tight deadlines, I was criticized for minor issues like formatting or phrasing.",Complaint,Frustration,"tasks, support, deadlines","Complaint tasks, support, deadlines",0
Karen (HR),"Sophia, you also submitted a screenshot of a message from Josh sent at 11:07 PM that read: ""You're really going places; maybe we should grab drinks to talk about your goals."" Do you recall receiving that?",confirmation and clarification,neutral,"message, recollection","confirmation and clarification message, recollection",3
Sophia (S),"Yes, I remember that vividly. It was unsettling. We'd never had that type of conversation before, and the timing made it feel even more inappropriate.",complaint,frustration,"conversation, unusual timing","complaint conversation, unusual timing",0
Karen (HR),"Josh, can you explain that message?",Request for clarification,Neutral,"Message, Clarification","Request for clarification Message, Clarification",3
Josh (M),"Yes, I sent it. But I often reach out to employees after hours when things come to mind. The tone was casual - maybe too casual in hindsight - but my intent was to mentor her, not make her uncomfortable.",Justification,Neutral,"Employee Communication, Tone Management","Justification Employee Communication, Tone Management",0
Karen (HR),"We reviewed your communication logs. While most messages were work-related, there were two similar late-night messages sent to other employees - both female. One declined the invite, and another never responded. Neither reported discomfort, but the pattern is concerning.",Concern,Neutral,"Communication Patterns, Employee Relations","Concern Communication Patterns, Employee Relations",0
Sophia (S),"Exactly. Even if others didn't report it, I felt singled out. I didn't know how to respond. It felt like there were strings attached to succeeding on the team.",complaint,frustration,"single incident, team dynamics","complaint single incident, team dynamics",0
Karen (HR),"We also interviewed two colleagues who mentioned feeling ""micromanaged"" or ""overlooked"" after declining similar social invites. One described the environment as ""uneven,"" especially for those who didn't engage with Josh outside work hours.",Complaint,Neutral,"Environment, Social Invites","Complaint Environment, Social Invites",0
Josh (M),"I manage people based on performance. If they fall behind or miss deadlines, I check in more. I didn't connect this feedback to social interactions.",Justification,Neutral,"Management, Feedback","Justification Management, Feedback",0
